lamda=0.1
{"Bleu_1": 0.7408838039096484, "Bleu_2": 0.5793886691969727, "Bleu_3": 0.42553046890452706, "Bleu_4": 0.3035621349694493, "METEOR": 0.25631350293402455, "ROUGE_L": 0.547057299117526, "CIDEr": 1.0254979722298478, "SPICE": 0.19263980079085707}epoch:8
{"Bleu_1": 0.739595082736757, "Bleu_2": 0.5787356012364923, "Bleu_3": 0.42478415200674596, "Bleu_4": 0.3037223874078454, "METEOR": 0.2558821489710474, "ROUGE_L": 0.5468784049948595, "CIDEr": 1.0277437895435533, "SPICE": 0.1926068509463663}epoch:9

lamda=0.3
{"Bleu_1": 0.7466599656573115, "Bleu_2": 0.5807165368247252, "Bleu_3": 0.4266073932778397, "Bleu_4": 0.30462921163589807, "METEOR": 0.2591705723569376, "ROUGE_L": 0.5430295922230752, "CIDEr": 1.0075286104832548, "SPICE": 0.19069298582425515}epoch:0
{"Bleu_1": 0.7563091557618942, "Bleu_2": 0.5883959035407905, "Bleu_3": 0.4334536689183822, "Bleu_4": 0.31135111700558377, "METEOR": 0.2605124045960151, "ROUGE_L": 0.5471011273416483, "CIDEr": 1.0380724032044415, "SPICE": 0.19689800178381833}epoch:1
{"Bleu_1": 0.7654019902192262, "Bleu_2": 0.6031239141531314, "Bleu_3": 0.44702327584066637, "Bleu_4": 0.3233492734024735, "METEOR": 0.2663876646045798, "ROUGE_L": 0.5583130057374741, "CIDEr": 1.083772325958515, "SPICE": 0.19990566743862692}epoch:2
{"Bleu_1": 0.7728727240883374, "Bleu_2": 0.6130291654936674, "Bleu_3": 0.45965126604573403, "Bleu_4": 0.33765862956186876, "METEOR": 0.2689415771212444, "ROUGE_L": 0.5618134546540269, "CIDEr": 1.1189655564735617, "SPICE": 0.20495006754359518}epoch:3
{"Bleu_1": 0.7771529415712676, "Bleu_2": 0.6181800150446662, "Bleu_3": 0.4653026326639723, "Bleu_4": 0.3434543847693983, "METEOR": 0.2749884679246468, "ROUGE_L": 0.5656891355537755, "CIDEr": 1.1434330126367724, "SPICE": 0.2100521466306272}epoch:4
{"Bleu_1": 0.7832907376983391, "Bleu_2": 0.6272678582336872, "Bleu_3": 0.4754048369619708, "Bleu_4": 0.35288067084025315, "METEOR": 0.2757157319781435, "ROUGE_L": 0.5695763462762763, "CIDEr": 1.1689096725722714, "SPICE": 0.21065071063252158}epoch:5
{"Bleu_1": 0.7857772084637591, "Bleu_2": 0.6281183243343499, "Bleu_3": 0.47550608248284243, "Bleu_4": 0.3525277723355172, "METEOR": 0.2799759688492783, "ROUGE_L": 0.5713882561863558, "CIDEr": 1.1742893122855287, "SPICE": 0.21499150771040226}epoch:6
{"Bleu_1": 0.7864920541494832, "Bleu_2": 0.6283735351404895, "Bleu_3": 0.4769811242573872, "Bleu_4": 0.3541011053783238, "METEOR": 0.2789895319804015, "ROUGE_L": 0.5709905014400076, "CIDEr": 1.1745674565764292, "SPICE": 0.21562067613290672}epoch:7
{"Bleu_1": 0.7860420289551262, "Bleu_2": 0.6289865231531818, "Bleu_3": 0.47739637432751275, "Bleu_4": 0.3550633441693623, "METEOR": 0.27937632831657494, "ROUGE_L": 0.5711043865937243, "CIDEr": 1.1770295708111422, "SPICE": 0.2161058367594852}epoch:8
{"Bleu_1": 0.7884893898368955, "Bleu_2": 0.6309809349131691, "Bleu_3": 0.4796594734699929, "Bleu_4": 0.35678296537405796, "METEOR": 0.280780254077837, "ROUGE_L": 0.5730175685873625, "CIDEr": 1.1855001626431299, "SPICE": 0.21663366111464558}epoch:9
