tanh不行
{"Bleu_1": 0.7051945951912998, "Bleu_2": 0.5401532427074749, "Bleu_3": 0.38798405756411014, "Bleu_4": 0.27098994986721625, "METEOR": 0.23712607611775777, "ROUGE_L": 0.5261691846311569, "CIDEr": 0.9034590604880599, "SPICE": 0.17302027806347134}epoch:0
{"Bleu_1": 0.7280421189431928, "Bleu_2": 0.5602954198441955, "Bleu_3": 0.4048312016230248, "Bleu_4": 0.2847128504843838, "METEOR": 0.24581025266935339, "ROUGE_L": 0.5337374670768666, "CIDEr": 0.9572667876686117, "SPICE": 0.17880789447404735}epoch:0
{"Bleu_1": 0.7562774672278707, "Bleu_2": 0.5893086640260501, "Bleu_3": 0.4323419831866526, "Bleu_4": 0.3067301064925594, "METEOR": 0.2615148577760453, "ROUGE_L": 0.548791097621389, "CIDEr": 1.0347268661910574, "SPICE": 0.19573263881079175}epoch:1
{"Bleu_1": 0.7662038223709187, "Bleu_2": 0.6018134944263288, "Bleu_3": 0.4468966806695511, "Bleu_4": 0.32355124346937086, "METEOR": 0.26761015729173443, "ROUGE_L": 0.556349942168669, "CIDEr": 1.0827763121440486, "SPICE": 0.20118846174207924}epoch:2
{"Bleu_1": 0.764445091998985, "Bleu_2": 0.6010985551646845, "Bleu_3": 0.44878164708925, "Bleu_4": 0.3264309628932854, "METEOR": 0.26952657387970314, "ROUGE_L": 0.5563490591841239, "CIDEr": 1.0935348814266894, "SPICE": 0.2034486600112318}epoch:3
{"Bleu_1": 0.7738815833068328, "Bleu_2": 0.6117333015061212, "Bleu_3": 0.45807412813226345, "Bleu_4": 0.33310784783959235, "METEOR": 0.27051145633752227, "ROUGE_L": 0.5612971790482381, "CIDEr": 1.1080805812759256, "SPICE": 0.2053897436190057}epoch:4
{"Bleu_1": 0.768406627631727, "Bleu_2": 0.6063827764075145, "Bleu_3": 0.4528296081837665, "Bleu_4": 0.3305948969765716, "METEOR": 0.2720157749372808, "ROUGE_L": 0.5592905141486177, "CIDEr": 1.1144585779515221, "SPICE": 0.2076360912375602}epoch:5

# 3层 use_mse_loss prefix50 without const learn lamada=5 use_mse_loss=True
{"Bleu_1": 0.6808114337791041, "Bleu_2": 0.5102975405788021, "Bleu_3": 0.35884802526756043, "Bleu_4": 0.24496556778319928, "METEOR": 0.2244877894360773, "ROUGE_L": 0.5069929621500484, "CIDEr": 0.8116471931813858, "SPICE": 0.16078683701282404}epoch:0
{"Bleu_1": 0.7373577296735607, "Bleu_2": 0.5711618209479069, "Bleu_3": 0.4154799872114454, "Bleu_4": 0.2922842129070067, "METEOR": 0.25264346480272787, "ROUGE_L": 0.5401017424123307, "CIDEr": 0.9870312611919384, "SPICE": 0.1859160700692867}epoch:1
{"Bleu_1": 0.7444035750436363, "Bleu_2": 0.5783553487753236, "Bleu_3": 0.42345522182823225, "Bleu_4": 0.30275832976248007, "METEOR": 0.25613201553962267, "ROUGE_L": 0.5440330208187333, "CIDEr": 1.0133954360996633, "SPICE": 0.191200905274525}epoch:2
{"Bleu_1": 0.7521289221095432, "Bleu_2": 0.5888187357286687, "Bleu_3": 0.43466923650463407, "Bleu_4": 0.31200033416882433, "METEOR": 0.2629292647027816, "ROUGE_L": 0.5503445994108895, "CIDEr": 1.0570360414559858, "SPICE": 0.1963654451909381}epoch:3
{"Bleu_1": 0.760788822467759, "Bleu_2": 0.5971572398600747, "Bleu_3": 0.4432836669640177, "Bleu_4": 0.3207208952291652, "METEOR": 0.2619178299158793, "ROUGE_L": 0.5527604393642301, "CIDEr": 1.0757908301867347, "SPICE": 0.19858391263684935}epoch:4
{"Bleu_1": 0.7618385281658815, "Bleu_2": 0.5965076350681546, "Bleu_3": 0.4404933407980607, "Bleu_4": 0.31817261479642067, "METEOR": 0.2647643752680063, "ROUGE_L": 0.5520953543895842, "CIDEr": 1.0775978558067791, "SPICE": 0.20154284927120333}epoch:5
{"Bleu_1": 0.7667521971047472, "Bleu_2": 0.6027390009645109, "Bleu_3": 0.4466332100621513, "Bleu_4": 0.32270137892346296, "METEOR": 0.2648232509017542, "ROUGE_L": 0.5565775154028828, "CIDEr": 1.0893587338500463, "SPICE": 0.20270972090936265}epoch:6
{"Bleu_1": 0.7660799890487514, "Bleu_2": 0.6071431186426699, "Bleu_3": 0.45531322623914766, "Bleu_4": 0.33400221483379494, "METEOR": 0.2675504450622407, "ROUGE_L": 0.5589549193176615, "CIDEr": 1.1038717224911674, "SPICE": 0.20190610886097074}epoch:7
{"Bleu_1": 0.772559818485105, "Bleu_2": 0.6097094574073118, "Bleu_3": 0.45450610005273606, "Bleu_4": 0.33090116855942614, "METEOR": 0.27015514529688345, "ROUGE_L": 0.5610442375903998, "CIDEr": 1.1175603624767587, "SPICE": 0.2046640738471128}epoch:8

# 3层 use_mse_loss prefix50 without const learn lamada=5 use_contrastive_loss=True for only the last layer
{"Bleu_1": 0.7228513755819489, "Bleu_2": 0.5552561709318906, "Bleu_3": 0.3997575983465138, "Bleu_4": 0.2791127579995068, "METEOR": 0.24550380154556145, "ROUGE_L": 0.5297351519548577, "CIDEr": 0.9369622836573439, "SPICE": 0.1808328120666119}epoch:0
